circuit_code,hour,scen,losses
100,2,7,6.79645529130669e-6
100,2,8,0.0013189471986325984
100,2,9,6.796443593253484e-6
100,2,10,6.796462871003219e-6
100,3,1,6.796456057632613e-6
100,3,2,6.796475723984026e-6
100,3,3,6.796448115281145e-6
100,3,4,6.7964472154932405e-6
100,3,5,6.796455715539543e-6
100,3,6,6.796455886251264e-6
100,3,7,6.796454839940096e-6
100,3,8,0.0024202101587952976
100,3,9,6.796455556180371e-6
100,3,10,6.7964628778602695e-6
100,4,1,6.796447927693359e-6
100,4,2,6.7964757260082945e-6
100,4,3,6.7964546871398245e-6
100,4,4,6.796454506794218e-6
100,4,5,6.79645530224551e-6
100,4,6,6.796445477424122e-6
100,4,7,6.796455397021594e-6
100,4,8,0.0008600404434811572
100,4,9,6.796455135874459e-6
100,4,10,6.796593070298259e-6
100,5,1,6.796453071627934e-6
100,5,2,6.796476501087084e-6
100,5,3,6.796453354203258e-6
100,5,4,6.79645318034668e-6
100,5,5,6.7964457757910055e-6
100,5,6,6.79644548056259e-6
100,5,7,6.796455350985589e-6
100,5,8,0.004734156901825933
100,5,9,6.796453215164406e-6
100,5,10,6.7968240043709235e-6
100,6,1,6.796452912540159e-6
100,6,2,6.796475751929274e-6
100,6,3,6.796448943409856e-6
100,6,4,6.796448723537863e-6
100,6,5,6.796445755047254e-6
100,6,6,6.796449096111587e-6
100,6,7,6.7964552523664095e-6
100,6,8,0.005100959327149033
100,6,9,6.796439316452616e-6
100,6,10,0.0010156817440869195
100,7,1,6.796447867780178e-6
100,7,2,6.796499679496865e-6
100,7,3,6.796448161801647e-6
100,7,4,6.79644787557294e-6
100,7,5,6.796445774055626e-6
100,7,6,6.796449087893355e-6
100,7,7,6.796459042628539e-6
100,7,8,0.005069019690234539
100,7,9,6.79643929401936e-6
100,7,10,0.0010690420138553126
100,8,1,6.796453563161943e-6
100,8,2,0.0007651567962308534
100,8,3,6.796447686740625e-6
100,8,4,6.796448009090468e-6
100,8,5,6.796446807748744e-6
100,8,6,6.79645300748375e-6
100,8,7,6.7964667031172345e-6
100,8,8,6.796408455389588e-6
100,8,9,6.796439306744374e-6
100,8,10,0.0010858721053744107
100,9,1,6.79645400304334e-6
100,9,2,6.796448441956407e-6
100,9,3,6.796455957540281e-6
100,9,4,6.796453018748919e-6
100,9,5,6.796457426571745e-6
100,9,6,6.7964534435181375e-6
100,9,7,6.79646631593737e-6
100,9,8,6.796427696207518e-6
100,9,9,6.796448372416252e-6
100,9,10,6.796473275794057e-6
100,10,1,6.796460903121716e-6
100,10,2,6.796469640369357e-6
100,10,3,6.796460844699967e-6
100,10,4,6.796459910898194e-6
100,10,5,6.79646168703519e-6
100,10,6,6.796451745232688e-6
100,10,7,6.7964656733795e-6
100,10,8,6.796428534789632e-6
100,10,9,6.796460962170314e-6
100,10,10,6.79646554562317e-6
100,11,1,6.796466817009022e-6
100,11,2,6.796468332242922e-6
100,11,3,6.796468342526557e-6
100,11,4,6.7964573326234415e-6
100,11,5,6.796467504046854e-6
100,11,6,6.796455865631526e-6
100,11,7,6.7964680718365865e-6
100,11,8,6.796499014212609e-6
100,11,9,6.796468179071841e-6
100,11,10,6.7964630919610784e-6
100,12,1,6.796467897724799e-6
100,12,2,6.796464030448381e-6
100,12,3,6.796468603090967e-6
100,12,4,6.796457336284644e-6
100,12,5,6.7964682180889645e-6
100,12,6,6.796468678898786e-6
100,12,7,6.796469263350194e-6
100,12,8,6.796469126752998e-6
100,12,9,6.796468444178265e-6
100,12,10,6.796469487411514e-6
100,13,1,6.796467897989315e-6
100,13,2,6.796471667274643e-6
100,13,3,6.79646861426581e-6
100,13,4,6.796465462088542e-6
100,13,5,6.796467152588743e-6
100,13,6,6.7964701598592615e-6
100,13,7,6.796469245680613e-6
100,13,8,6.7964680618559625e-6
100,13,9,6.796468438654345e-6
100,13,10,6.796469545275537e-6
100,14,1,6.79646777680477e-6
100,14,2,6.796469600886454e-6
100,14,3,6.796468275246361e-6
100,14,4,6.796458031064477e-6
100,14,5,6.7964674909978985e-6
100,14,6,6.796468047136157e-6
100,14,7,6.796470003816746e-6
100,14,8,6.796485102969446e-6
100,14,9,6.796468106486279e-6
100,14,10,6.796470505280159e-6
100,15,1,6.79646397972838e-6
100,15,2,6.796469549981097e-6
100,15,3,6.796462711665847e-6
100,15,4,6.7964618931838695e-6
100,15,5,6.79645494999294e-6
100,15,6,6.796462656758429e-6
100,15,7,6.796463377062062e-6
100,15,8,6.796630410461109e-6
100,15,9,6.796464355400291e-6
